weight_gain,isomorphic_error,stage
0.8227272727272728,6.049122546355259e-07,final
0.8377777777777777,4.1522518074401006e-07,final
0.8528282828282828,2.8501975145539524e-07,final
0.8678787878787879,1.9564385584056818e-07,final
0.8829292929292929,1.3429426227468158e-07,final
0.897979797979798,9.218254493840866e-08,final
0.9130303030303031,6.327613209362002e-08,final
0.9280808080808081,4.3434132341558994e-08,final
0.9431313131313132,2.9814145999551124e-08,final
0.9581818181818181,2.0465087017191135e-08,final
0.9732323232323232,1.4047686806111183e-08,final
0.9882828282828283,9.827157950706218e-09,final
1.0033333333333332,1.0504710675849247e-08,final
1.0183838383838384,1.0051293873309932e-08,final
1.0334343434343434,1.0938147346330508e-08,final
